"city","numero_pedidos"
"Cowes","10"
"Cork","19"
"Bern","8"
"Brandenburg","14"
"Eugene","11"
"Lyon","10"
"Salzburg","10"
"Frankfurt a.M.","15"
"Stuttgart","10"
"Portland","12"
"Århus","11"
"Oulu","15"
"Seattle","14"
"Sevilla","10"
"Sao Paulo","31"
"Albuquerque","18"
"Marseille","17"
"Boise","31"
"Reggio Emilia","12"
"Bergamo","10"
"Strasbourg","11"
"Toulouse","14"
"München","15"
"Charleroi","12"
"Resende","9"
"Tsawassen","14"
"London","46"
"Barquisimeto","14"
"Anchorage","10"
"Köln","10"
"Genève","10"
"Luleå","18"
"Campinas","9"
"Lisboa","13"
"Bräcke","19"
"Graz","30"
"Cunewalde","28"
"Montréal","13"
"Madrid","8"
"Lander","9"
"México D.F.","28"
"I. de Margarita","12"
"Buenos Aires","16"
"San Cristóbal","18"
"Rio de Janeiro","34"
