"company_name","nombre_empleado","cantidad_pedidos"
"Great Lakes Food Market","Michael","2"
"Save-a-lot Markets","Janet","2"
"White Clover Markets","Robert","2"
"Godos Cocina Típica","Janet","2"
"Mère Paillarde","Janet","4"
"Seven Seas Imports","Steven","2"
"Blondesddsl père et fils","Margaret","3"
"Berglunds snabbköp","Steven","2"
"Suprêmes délices","Andrew","2"
"Save-a-lot Markets","Michael","4"
"Ottilies Käseladen","Michael","2"
"Ernst Handel","Robert","4"
"LILA-Supermercado","Laura","3"
"QUICK-Stop","Margaret","5"
"Suprêmes délices","Steven","2"
"Island Trading","Margaret","4"
"Lonesome Pine Restaurant","Margaret","2"
"La maison d'Asie","Michael","3"
"Ana Trujillo Emparedados y helados","Janet","2"
"Folk och fä HB","Robert","2"
"Die Wandernde Kuh","Margaret","2"
"Bottom-Dollar Markets","Michael","2"
"Vaffeljernet","Nancy","4"
"Mère Paillarde","Nancy","3"
"B's Beverages","Margaret","2"
"Princesa Isabel Vinhos","Steven","2"
"Lehmanns Marktstand","Janet","4"
"Rattlesnake Canyon Grocery","Janet","4"
"Wartian Herkku","Laura","4"
"Blondesddsl père et fils","Janet","2"
"Victuailles en stock","Laura","2"
"Chop-suey Chinese","Margaret","2"
"B's Beverages","Michael","2"
"Save-a-lot Markets","Margaret","4"
"Richter Supermarkt","Margaret","2"
"Around the Horn","Margaret","4"
"Comércio Mineiro","Margaret","2"
"LILA-Supermercado","Nancy","3"
"Furia Bacalhau e Frutos do Mar","Nancy","2"
"Bon app'","Janet","3"
"Old World Delicatessen","Janet","3"
"Hungry Owl All-Night Grocers","Andrew","3"
"Queen Cozinha","Robert","3"
"Bon app'","Anne","2"
"Ricardo Adocicados","Nancy","2"
"Ottilies Käseladen","Andrew","2"
"Mère Paillarde","Laura","2"
"Tradição Hipermercados","Nancy","2"
"Franchi S.p.A.","Margaret","2"
"White Clover Markets","Janet","3"
"Hanari Carnes","Nancy","3"
"Drachenblut Delikatessen","Nancy","2"
"Gourmet Lanchonetes","Michael","3"
"Rattlesnake Canyon Grocery","Laura","2"
"Santé Gourmet","Nancy","2"
"Simons bistro","Margaret","2"
"Santé Gourmet","Robert","2"
"Hanari Carnes","Janet","4"
"Ricardo Adocicados","Laura","2"
"Wellington Importadora","Robert","2"
"Bottom-Dollar Markets","Janet","4"
"Seven Seas Imports","Nancy","2"
"Berglunds snabbköp","Laura","2"
"Wellington Importadora","Margaret","2"
"Hungry Coyote Import Store","Janet","2"
"Godos Cocina Típica","Steven","2"
"Folk och fä HB","Andrew","3"
"Piccolo und mehr","Michael","2"
"La maison d'Asie","Robert","2"
"Save-a-lot Markets","Steven","3"
"Ernst Handel","Anne","3"
"La corne d'abondance","Margaret","2"
"Rancho grande","Margaret","2"
"Ernst Handel","Michael","2"
"Bon app'","Nancy","3"
"Chop-suey Chinese","Michael","2"
"Lonesome Pine Restaurant","Michael","2"
"Simons bistro","Andrew","2"
"Maison Dewey","Margaret","2"
"Frankenversand","Michael","2"
"White Clover Markets","Margaret","4"
"Maison Dewey","Steven","2"
"QUICK-Stop","Janet","5"
"LINO-Delicateses","Janet","3"
"Great Lakes Food Market","Janet","3"
"QUICK-Stop","Andrew","6"
"Galería del gastrónomo","Laura","2"
"Hungry Owl All-Night Grocers","Robert","2"
"Hungry Owl All-Night Grocers","Michael","3"
"Alfreds Futterkiste","Nancy","2"
"Magazzini Alimentari Riuniti","Andrew","3"
"Lehmanns Marktstand","Margaret","3"
"Reggiani Caseifici","Andrew","2"
"Bon app'","Margaret","4"
"QUICK-Stop","Steven","2"
"QUICK-Stop","Nancy","4"
"B's Beverages","Janet","2"
