"customer_id","company_name","contact_name","contact_title","address","city","region","postal_code","country","phone","fax"
"ALFKI","Alfreds Futterkiste","Maria Anders","Sales Representative","Obere Str. 57","Berlin",NULL,"12209","Germany","030-0074321","030-0076545"
"AROUT","Around the Horn","Thomas Hardy","Sales Representative","120 Hanover Sq.","London",NULL,"WA1 1DP","UK","(171) 555-7788","(171) 555-6750"
"BSBEV","B's Beverages","Victoria Ashworth","Sales Representative","Fauntleroy Circus","London",NULL,"EC2 5NT","UK","(171) 555-1212",NULL
"COMMI","Comércio Mineiro","Pedro Afonso","Sales Associate","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","(11) 555-7647",NULL
"CONSH","Consolidated Holdings","Elizabeth Brown","Sales Representative","Berkeley Gardens 12  Brewery","London",NULL,"WX1 6LT","UK","(171) 555-2282","(171) 555-9199"
"EASTC","Eastern Connection","Ann Devon","Sales Agent","35 King George","London",NULL,"WX3 6FW","UK","(171) 555-0297","(171) 555-3373"
"FAMIA","Familia Arquibaldo","Aria Cruz","Marketing Assistant","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil","(11) 555-9857",NULL
"MEREP","Mère Paillarde","Jean Fresnière","Marketing Assistant","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada","(514) 555-8054","(514) 555-8055"
"NORTS","North/South","Simon Crowther","Sales Associate","South House 300 Queensbridge","London",NULL,"SW7 1RZ","UK","(171) 555-7733","(171) 555-2530"
"PARIS","Paris spécialités","Marie Bertrand","Owner","265, boulevard Charonne","Paris",NULL,"75012","France","(1) 42.34.22.66","(1) 42.34.22.77"
"QUEEN","Queen Cozinha","Lúcia Carvalho","Marketing Assistant","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil","(11) 555-1189",NULL
"SEVES","Seven Seas Imports","Hari Kumar","Sales Manager","90 Wadhurst Rd.","London",NULL,"OX15 4NB","UK","(171) 555-1717","(171) 555-5646"
"SPECD","Spécialités du monde","Dominique Perrier","Marketing Manager","25, rue Lauriston","Paris",NULL,"75016","France","(1) 47.55.60.10","(1) 47.55.60.20"
"TRADH","Tradição Hipermercados","Anabela Domingues","Sales Representative","Av. Inês de Castro, 414","Sao Paulo","SP","05634-030","Brazil","(11) 555-2167","(11) 555-2168"
